station,lat,lon,k,G,z,d,Q,quality,method
VUL5-3,-57.1833,-29.1083,0.71,190.0,4.0,3357.0,134.0,S2,Unconsolidated sediments
VUL5-4,-57.1883,-29.105,0.71,200.0,3.0,3353.0,143.0,S2,Unconsolidated sediments
VUL5-5,-57.1833,-29.1033,0.71,200.0,3.0,3353.0,145.0,S2,Unconsolidated sediments
VUL5-7,-57.2117,-29.2033,0.71,30.0,4.0,3361.0,17.0,S2,Unconsolidated sediments
VUL5-8,-57.2167,-29.2033,0.71,30.0,4.0,3361.0,18.0,S2,Unconsolidated sediments
VUL5-9,-57.225,-29.225,0.71,30.0,4.0,3363.0,23.0,S2,Unconsolidated sediments
VUL5-11 ,-57.2167,-28.4667,0.71,190.0,2.0,3330.0,133.0,S1,Unconsolidated sediments
VUL5-12 ,-57.2483,-28.47,0.71,140.0,2.0,3334.0,99.0,S1,Unconsolidated sediments
VUL5-13 ,-57.245,-28.485,0.71,130.0,2.0,3334.0,94.0,S1,Unconsolidated sediments
VUL5-15 ,-56.9183,-28.44,0.71,200.0,1.0,3277.0,139.0,S1,Unconsolidated sediments
VUL5-16 ,-56.9167,-28.4,0.71,190.0,1.0,3290.0,134.0,S1,Unconsolidated sediments
VUL5-17 ,-56.9167,-28.515,0.71,140.0,1.0,3340.0,102.0,S1,Unconsolidated sediments
CH74-36 ,-54.7033,-2.0917,0.84,89.0,10.0,3140.0,74.0,S2,Unconsolidated sediments
CH74-39 ,-55.3383,-1.5983,0.84,20.0,2.5,4010.0,17.0,S1,Unconsolidated sediments
CH74-40 ,-56.025,-4.5467,0.84,232.0,2.5,2204.0,194.0,S1,Unconsolidated sediments
CH74-42 ,-55.395,-2.02,0.84,267.0,2.0,2310.0,223.0,S1,Unconsolidated sediments
CH74-45A,-55.13,0.2933,0.84,204.0,2.5,3000.0,171.0,S1,Unconsolidated sediments
CH74-45B,-55.13,0.2933,0.84,199.0,2.5,3000.0,167.0,S1,Unconsolidated sediments
CH74-49A,-54.18,2.1867,0.84,88.0,2.0,4790.0,74.0,S1,Unconsolidated sediments
CH74-49B,-54.18,2.1867,0.84,71.0,2.0,4790.0,59.0,S1,Unconsolidated sediments
CH74-50 ,-54.21,4.075,0.84,84.0,2.0,1960.0,70.0,S1,Unconsolidated sediments
CH74-51 ,-52.3283,6.5017,0.84,66.0,10.0,3690.0,55.0,S2,Unconsolidated sediments
CH74-52A,-52.285,6.5633,0.84,18.0,2.5,3580.0,15.0,S1,Unconsolidated sediments
CH74-52B,-52.285,6.5633,0.84,13.0,2.5,3580.0,11.0,S1,Unconsolidated sediments
CH74-52C,-52.285,6.5633,0.84,18.0,2.5,3580.0,15.0,S1,Unconsolidated sediments
CH74-53A,-51.56,7.7367,0.84,21.0,2.5,3640.0,17.0,S1,Unconsolidated sediments
CH74-53B,-51.56,7.7367,0.84,20.0,2.5,3640.0,17.0,S1,Unconsolidated sediments
U1524 ,-74.2175,-173.633,0.93,58.0,85.5,137.0,53.7,R2,Bedrock borehole
ANDRILL AND-1B,-77.8894,167.0893,1.5,67.7,1285.0,1285.0,115.0,R3,Bedrock borehole
JARE22-2,-69.2233,38.82,1.1,1.0,1.0,778.0,9.0,R1,Bedrock borehole
JARE22-3,-69.3433,39.6067,0.99,186.0,1.0,668.0,184.0,R1,Bedrock borehole
JARE22-4,-69.375,39.6817,0.96,197.0,1.0,683.0,190.0,R1,Bedrock borehole
JARE22-5,-69.0067,39.6633,0.94,53.0,1.0,537.0,50.0,R1,Bedrock borehole
113-690B,-65.161,1.2049,1.44,17.0,84.0,84.0,45.0,R1,Bedrock borehole
113-695A,-62.4,-43.45,1.14,50.0,313.0,313.0,64.0,R2,Bedrock borehole
Hut Point Peninsula,-77.83,166.675,1.73,79.7,5.9,7.5,164.0,R1,Bedrock borehole
Pram Point at Scott Base,-77.85,166.8,2.092,70.5,0.6,0.9,167.47,,Electrical resistivity
ANDRILL AND-2A,-77.7581,165.2767,1.57,51.9,1138.0,1138.0,81.5,R3,Bedrock borehole
Fuego ,-54.0,-69.0,3.01,32.0,2463.0,2463.0,96.0,R3,Bedrock borehole
CIROS-1 ,-77.0893,164.4989,2.0,40.0,450.0,600.0,80.0,R2,Bedrock borehole
