Index,Angle,Porosity,Surface_Area,Permeability_X
474,290,44.51141357,3050,3.3579836
475,300,45.54443359,3018,3.0619805
476,310,46.11206055,2827,4.6741595
477,320,43.89343262,2936,5.200657
478,330,43.39141846,3063,4.5659304
479,340,44.7479248,3117,4.415811
480,350,45.22247314,3135,4.702709
481,360,44.77996826,3160,4.9385366
482,0,50.02288818,2758,10.668842
483,10,50.19226074,2815,9.493653
484,20,49.61090088,2751,9.004545
485,30,49.99542236,2742,12.517979
486,40,50.10681152,2560,11.099876
487,50,48.52752686,2650,7.986764
488,60,48.62670898,2727,6.0295043
489,70,50.10223389,2795,5.619163
490,80,50.52337646,2742,5.400701
491,90,49.92675781,2758,5.44217
492,100,50.17089844,2838,5.7832193
493,110,49.6307373,2750,4.9344335
494,120,50.16174316,2738,4.5043135
495,130,50.22735596,2536,7.297067
496,140,48.43292236,2632,7.9432254
497,150,48.5824585,2693,8.799114
498,160,50.19378662,2792,9.381793
499,170,50.60119629,2743,10.325905
500,180,49.96490479,2757,10.643299
501,190,50.17547607,2827,9.3679085
502,200,49.559021,2755,8.9339695
503,210,50.06713867,2744,12.773966
504,220,50.11291504,2555,10.892539
505,230,48.30322266,2636,8.406195
506,240,48.52142334,2697,6.2680683
507,250,50.29449463,2786,5.625887
508,260,50.68359375,2762,5.4149046
509,270,50.06103516,2757,5.442515
510,280,50.20141602,2804,5.7433014
511,290,49.53460693,2756,4.7934513
512,300,49.89929199,2748,4.2294135
513,310,49.99084473,2579,7.0994635
514,320,48.39630127,2654,7.987403
515,330,48.56567383,2731,8.809804
516,340,50.20141602,2789,9.4219885
517,350,50.61035156,2763,10.157346
518,360,50.02288818,2758,10.668842
519,0,53.89709473,2546,20.346264
520,10,53.34014893,2614,17.574701
521,20,51.35345459,2581,13.965079
522,30,51.07421875,2587,15.461712
523,40,51.99279785,2405,16.79914
524,50,51.44958496,2462,17.097992
525,60,52.25524902,2484,17.51989
526,70,54.78515625,2527,18.972486
527,80,54.95605469,2447,18.018358
528,90,53.80096436,2546,18.273804
529,100,53.31878662,2637,15.972665
530,110,51.37329102,2580,12.069427
531,120,51.15814209,2584,12.591639
532,130,52.03704834,2381,12.9936905
533,140,51.30767822,2446,12.91151
534,150,52.16064453,2480,17.722832
535,160,54.83093262,2524,19.00696
536,170,55.00335693,2449,19.771751
537,180,53.80249023,2547,20.27156
538,190,53.32183838,2624,17.038544
539,200,51.28326416,2584,13.768762
540,210,51.01013184,2589,15.310971
541,220,51.93786621,2399,16.697784
542,230,51.19171143,2449,17.183027
543,240,52.11791992,2483,17.56948
544,250,54.97589111,2518,19.004158
545,260,55.13153076,2481,18.069082
546,270,53.89862061,2547,18.383749
547,280,53.34777832,2601,16.225845
548,290,51.26037598,2585,12.262385
549,300,50.9262085,2592,12.906973
550,310,51.89208984,2423,13.2372875
551,320,51.33209229,2465,13.321532
552,330,52.21252441,2487,18.287525
